[INFO ][memory ] GC mode: Garbage collection optimized for throughput, strategy: Generational Parallel Mark & Sweep.
[INFO ][memory ] Heap size: 65536KB, maximal heap size: 1048576KB, nursery size: 32768KB.
[INFO ][memory ] <start>-<end>: <type> <before>KB-><after>KB (<heap>KB), <time> ms, sum of pauses <pause> ms.
[INFO ][memory ] <start>  - start time of collection (seconds since jvm start).
[INFO ][memory ] <type>   - OC (old collection) or YC (young collection).
[INFO ][memory ] <end>    - end time of collection (seconds since jvm start).
[INFO ][memory ] <before> - memory used by objects before collection (KB).
[INFO ][memory ] <after>  - memory used by objects after collection (KB).
[INFO ][memory ] <heap>   - size of heap after collection (KB).
[INFO ][memory ] <time>   - total time of collection (milliseconds).
[INFO ][memory ] <pause>  - total sum of pauses during collection (milliseconds).
[INFO ][memory ]            Run with -Xverbose:gcpause to see individual phases.
[INFO ][memory ] [YC#136] 1.624-1.625: YC 165484KB->165523KB (233624KB), 0.001 s, sum of pauses 0.543 ms, longest pause 0.543 ms.
[INFO ][memory ] [YC#137] 1.625-1.625: YC 165548KB->165588KB (233624KB), 0.001 s, sum of pauses 0.535 ms, longest pause 0.535 ms.
[INFO ][memory ] [YC#138] 1.625-1.626: YC 165612KB->165651KB (233624KB), 0.001 s, sum of pauses 0.566 ms, longest pause 0.566 ms.
[INFO ][memory ] [YC#139] 1.626-1.627: YC 165676KB->165716KB (233624KB), 0.001 s, sum of pauses 0.537 ms, longest pause 0.537 ms.
[INFO ][memory ] [YC#140] 1.627-1.627: YC 165740KB->165779KB (233624KB), 0.001 s, sum of pauses 0.548 ms, longest pause 0.548 ms.
[INFO ][memory ] [YC#141] 1.627-1.628: YC 165804KB->165844KB (233624KB), 0.001 s, sum of pauses 0.533 ms, longest pause 0.533 ms.
[INFO ][memory ] [YC#142] 1.628-1.629: YC 165868KB->165907KB (233624KB), 0.001 s, sum of pauses 1.049 ms, longest pause 1.049 ms.
[INFO ][memory ] [YC#143] 1.629-1.630: YC 165932KB->165972KB (233624KB), 0.001 s, sum of pauses 0.801 ms, longest pause 0.801 ms.
[INFO ][memory ] [YC#144] 1.630-1.631: YC 165996KB->166035KB (233624KB), 0.001 s, sum of pauses 0.976 ms, longest pause 0.976 ms.
[INFO ][memory ] [YC#145] 1.631-1.632: YC 166060KB->166100KB (233624KB), 0.001 s, sum of pauses 0.749 ms, longest pause 0.749 ms.
[INFO ][memory ] [YC#146] 1.632-1.633: YC 166124KB->166163KB (233624KB), 0.001 s, sum of pauses 0.545 ms, longest pause 0.545 ms.
